Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779873402,100,,Aggregated,3.400000,0.400000,4600,5300,7600,9400,12000,23000,30000,30000,30000,30000,30000,342,9,4600,5731.709118543744,2.2201669999049045,30336.258334002196,909.6988304093567
1779873403,100,,Aggregated,3.900000,0.400000,4600,5700,8400,9400,13000,24000,30000,30000,30000,30000,30000,351,10,4600,5979.322910732078,2.2201669999049045,30336.258334002196,956.3504273504274
1779873404,100,,Aggregated,4.500000,0.900000,4600,5700,8400,9500,14000,24000,30000,30000,30000,30000,30000,353,10,4600,6048.994307957396,2.2201669999049045,30336.258334002196,953.3739376770538
1779873405,100,,Aggregated,4.500000,0.900000,4600,5700,8400,9500,17000,24000,30000,30000,30000,30000,30000,354,11,4600,6116.699245530961,2.2201669999049045,30336.258334002196,1011.4237288135594
1779873406,100,,Aggregated,5.400000,1.000000,4600,6100,8400,9500,18000,26000,30000,30000,30000,30000,30000,359,14,4600,6223.379193478998,2.2201669999049045,30336.258334002196,1118.33147632312
1779873407,100,,Aggregated,5.600000,1.100000,4600,6300,8600,9500,17000,26000,30000,30000,30000,30000,30000,361,14,4600,6240.382619922328,2.2201669999049045,30336.258334002196,1114.5567867036011
1779873408,100,,Aggregated,5.600000,1.100000,4600,6300,8600,9500,17000,26000,30000,30000,30000,30000,30000,361,14,4600,6240.382619922328,2.2201669999049045,30336.258334002196,1114.5567867036011
1779873409,100,,Aggregated,5.400000,1.200000,4600,6100,8600,9500,17000,26000,30000,30000,30000,30000,30000,362,15,4600,6223.150375231936,2.2201669999049045,30336.258334002196,1111.4779005524863
1779873410,100,,Aggregated,3.700000,1.000000,4600,6300,8800,9500,17000,26000,30000,30000,30000,30000,30000,363,15,4600,6235.888466256096,2.2201669999049045,30336.258334002196,1109.6363636363637
1779873411,100,,Aggregated,3.500000,1.000000,4600,6300,8800,9700,17000,26000,30000,30000,30000,30000,30000,365,15,4600,6273.468348175236,2.2201669999049045,30336.258334002196,1105.9506849315069
1779873412,100,,Aggregated,3.300000,1.100000,4600,6400,9300,10000,18000,26000,30000,30000,30000,30000,30000,370,15,4600,6355.808188740424,2.2201669999049045,30336.258334002196,1095.7297297297298
1779873413,100,,Aggregated,2.800000,1.100000,4600,6400,9300,10000,17000,26000,30000,30000,30000,30000,30000,371,15,4600,6338.688683514705,2.2201669999049045,30336.258334002196,1092.7762803234502
1779873414,100,,Aggregated,2.500000,0.600000,4600,6400,9300,10000,17000,26000,30000,30000,30000,30000,30000,373,17,4600,6304.715580766643,2.067625002382556,30336.258334002196,1086.9168900804289
1779873415,100,,Aggregated,2.800000,0.600000,4600,6400,9400,10000,18000,26000,30000,30000,30000,30000,30000,381,17,4600,6516.660222663942,2.067625002382556,30336.258334002196,1070.8976377952756
1779873416,100,,Aggregated,2.000000,0.500000,4600,6500,9400,10000,18000,26000,30000,30000,30000,30000,30000,385,18,4600,6553.551129334972,2.067625002382556,30336.258334002196,1063.161038961039
1779873417,100,,Aggregated,2.200000,0.700000,4600,6400,9400,10000,19000,26000,30000,30000,30000,30000,30000,389,18,4600,6537.732627359794,2.067625002382556,30336.258334002196,1053.3676092544988
1779873418,100,,Aggregated,2.200000,0.700000,4600,6400,9400,10000,19000,26000,30000,30000,30000,30000,30000,389,18,4600,6537.732627359794,2.067625002382556,30336.258334002196,1053.3676092544988
1779873419,100,,Aggregated,2.200000,0.700000,4600,6400,9400,10000,19000,26000,30000,30000,30000,30000,30000,389,18,4600,6537.732627359794,2.067625002382556,30336.258334002196,1053.3676092544988
1779873420,100,,Aggregated,2.800000,0.400000,4600,6400,9400,10000,18000,26000,30000,30000,30000,30000,30000,392,20,4600,6488.0930792983745,2.067625002382556,30336.258334002196,1045.3061224489795
1779873421,100,,Aggregated,2.700000,0.300000,4600,6400,9400,10000,18000,26000,30000,30000,30000,30000,30000,393,21,4600,6471.590161475737,2.067625002382556,30336.258334002196,1042.6463104325699
1779873422,100,,Aggregated,2.700000,0.300000,4600,6400,9400,10000,18000,26000,30000,30000,30000,30000,30000,395,21,4600,6438.894764242945,2.067625002382556,30336.258334002196,1037.367088607595
1779873423,100,,Aggregated,2.700000,0.500000,4600,6500,9400,11000,19000,27000,30000,30000,30000,30000,30000,400,21,4600,6572.4689337524205,2.067625002382556,30336.258334002196,1028.8
1779873424,100,,Aggregated,2.500000,0.600000,4600,6500,9400,11000,20000,27000,30000,30000,30000,30000,30000,405,21,4600,6718.849304222137,2.067625002382556,30336.258334002196,1020.3851851851852
1779873425,100,,Aggregated,2.500000,0.600000,4600,6500,9400,11000,20000,27000,30000,30000,30000,30000,30000,405,21,4600,6718.849304222137,2.067625002382556,30336.258334002196,1020.3851851851852
1779873426,100,,Aggregated,2.600000,0.600000,4600,6500,9400,11000,20000,27000,30000,30000,30000,30000,30000,406,22,4600,6702.308439352137,2.067625002382556,30336.258334002196,1017.871921182266
